City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Atherton,GB,53.5237,-2.4935,45.95,74,91,11.01,overcast clouds
79,Santa Quiteria,BR,-4.3319,-40.1567,96.35,31,26,6.82,scattered clouds
80,Paamiut,GL,61.994,-49.6678,4.69,75,100,8.34,overcast clouds
81,Raton,US,36.9034,-104.4391,29.01,74,100,4.0,overcast clouds
82,Morro Bay,US,35.3658,-120.8499,54.81,58,0,6.85,clear sky
83,Cayenne,GF,4.9333,-52.3333,83.08,81,100,5.01,overcast clouds
84,Mount Isa,AU,-20.7333,139.5,76.77,65,75,6.91,broken clouds
85,Barrow,US,71.2906,-156.7887,-17.09,95,100,7.96,overcast clouds
86,Busselton,AU,-33.65,115.3333,56.08,69,71,16.55,broken clouds
87,Husavik,IS,66.0449,-17.3389,25.39,89,100,13.89,light snow
88,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,84,77,14.61,broken clouds
89,Hinton,CA,53.4001,-117.5857,31.95,70,100,8.41,overcast clouds
90,Ligayan,PH,4.6533,119.4706,81.45,76,96,7.11,overcast clouds
91,Kalabo,ZM,-14.97,22.6814,74.19,78,91,1.97,moderate rain
92,Iqaluit,CA,63.7506,-68.5145,-34.31,65,63,1.99,broken clouds
93,Terre-De-Bas,GP,15.8501,-61.6442,82.65,72,70,14.92,broken clouds
94,Yanam,IN,16.7333,82.2167,70.21,76,23,4.29,few clouds
95,Elat,IL,29.5581,34.9482,64.24,34,0,9.22,clear sky
96,Vardo,NO,70.3705,31.1107,25.0,78,67,20.92,broken clouds
97,Hermanus,ZA,-34.4187,19.2345,82.9,68,8,11.52,clear sky
98,Malanje,AO,-9.5402,16.341,77.58,55,63,7.29,broken clouds
99,Samana,DO,19.2056,-69.3369,77.22,88,40,9.22,scattered clouds
100,Cherskiy,RU,68.75,161.3,-30.37,100,37,1.45,scattered clouds
101,Novichikha,RU,52.204,81.3877,-1.35,96,5,4.99,clear sky
102,Worland,US,44.0169,-107.9554,29.55,84,0,1.01,clear sky
103,Machinga,MW,-15.1685,35.3,70.47,85,31,5.5,scattered clouds
104,Chokurdakh,RU,70.6333,147.9167,-38.99,100,98,2.24,overcast clouds
105,Lac Du Bonnet,CA,50.2536,-96.0612,3.45,95,91,6.04,overcast clouds
106,Chauk,MM,20.8833,94.8167,68.43,45,97,6.46,overcast clouds
107,Boyolangu,ID,-8.1181,111.8935,74.95,97,100,5.1,overcast clouds
108,Njombe,TZ,-9.3333,34.7667,58.14,94,100,6.89,light rain
109,Klaksvik,FO,62.2266,-6.589,36.52,61,85,36.73,overcast clouds
110,Hueytown,US,33.4512,-86.9967,46.04,56,0,4.61,clear sky
111,Kabinda,CD,-6.1333,24.4833,73.09,84,94,3.15,moderate rain
112,Mathathane,BW,-22.2687,28.7495,82.94,34,22,22.82,few clouds
113,Ponta Do Sol,PT,32.6667,-17.1,66.13,54,11,11.7,few clouds
114,Gostyn,PL,51.8825,17.0123,46.06,84,100,20.49,overcast clouds
115,Leningradskiy,RU,69.3833,178.4167,-22.5,98,16,5.79,few clouds
116,Mehamn,NO,71.0357,27.8492,30.38,80,0,32.21,clear sky
117,Dikson,RU,73.5069,80.5464,-22.74,99,70,8.37,broken clouds
118,Esil,KZ,51.9556,66.4042,10.02,83,44,10.47,scattered clouds
119,Puerto Carreno,CO,6.189,-67.4859,94.89,33,16,4.63,few clouds
120,Karlstad,SE,59.3793,13.5036,36.16,75,46,12.66,scattered clouds
121,Pangnirtung,CA,66.1451,-65.7125,-33.56,92,94,3.15,overcast clouds
122,Guerrero Negro,MX,27.9769,-114.0611,59.16,39,0,2.33,clear sky
123,East London,ZA,-33.0153,27.9116,74.34,88,20,23.02,few clouds
124,Noumea,NC,-22.2763,166.4572,76.98,90,100,3.51,overcast clouds
125,Farmington,US,36.7281,-108.2187,34.74,55,0,1.99,clear sky
126,Launceston,AU,-41.45,147.1667,56.84,76,100,5.75,overcast clouds
127,Mar Del Plata,AR,-38.0023,-57.5575,67.08,100,100,5.99,heavy intensity rain
128,Ostersund,SE,63.1792,14.6357,21.65,93,0,5.75,clear sky
129,Tasiilaq,GL,65.6145,-37.6368,23.16,63,100,24.63,overcast clouds
130,Port Elizabeth,ZA,-33.918,25.5701,83.1,75,31,26.02,scattered clouds
131,Najran,SA,17.4924,44.1277,66.56,32,4,9.55,clear sky
132,Pinawa,CA,50.1489,-95.8811,3.87,94,92,5.95,overcast clouds
133,Caohai,CN,26.8661,104.2841,30.2,91,87,8.5,light snow
134,Krasnogorodsk,RU,56.8357,28.2822,32.83,94,100,13.04,light snow
135,Aksu,CN,41.1231,80.2644,23.41,46,84,2.98,broken clouds
136,Georgetown,MY,5.4112,100.3354,76.95,95,40,3.44,moderate rain
137,Can,TR,40.0333,27.0524,47.08,80,0,1.95,clear sky
138,Qandala,SO,11.472,49.8728,76.15,66,45,2.53,scattered clouds
139,Kefalos,GR,36.7453,26.9589,55.62,54,0,6.91,clear sky
140,Marawi,PH,7.9986,124.2928,67.64,91,72,2.91,broken clouds
141,Beringovskiy,RU,63.05,179.3167,-16.82,98,15,9.1,few clouds
142,Nouadhibou,MR,20.931,-17.0347,66.09,76,5,16.24,clear sky
143,Dudinka,RU,69.4058,86.1778,-33.77,100,16,3.65,few clouds
144,Troitskoye,RU,52.9821,84.6757,4.3,95,22,4.36,few clouds
145,Talnakh,RU,69.4865,88.3972,-26.55,98,55,2.01,broken clouds
146,Kemijarvi,FI,66.7131,27.4306,19.42,90,100,10.11,overcast clouds
147,Zhigansk,RU,66.7697,123.3711,-28.41,99,99,6.51,overcast clouds
148,Qaanaaq,GL,77.484,-69.3632,-12.8,62,73,8.34,broken clouds
149,Cabo San Lucas,MX,22.8909,-109.9124,67.51,74,80,3.2,broken clouds
150,Asau,RO,46.4333,26.4,41.4,54,100,6.38,overcast clouds
151,Clonakilty,IE,51.6231,-8.8706,51.01,80,85,22.5,overcast clouds
152,Moron,AR,-34.6534,-58.6198,69.03,55,13,11.52,few clouds
153,Saldanha,ZA,-33.0117,17.9442,67.82,87,41,12.01,scattered clouds
154,Mitsamiouli,KM,-11.3847,43.2844,82.27,74,98,7.45,overcast clouds
155,Lerwick,GB,60.1545,-1.1494,35.6,79,100,25.46,overcast clouds
156,Norman Wells,CA,65.282,-126.8329,-12.77,99,100,5.97,overcast clouds
157,Cerritos,US,33.8583,-118.0648,66.31,33,0,2.26,clear sky
158,Maragogi,BR,-9.0122,-35.2225,85.66,58,97,12.06,overcast clouds
159,Grindavik,IS,63.8424,-22.4338,28.87,80,75,12.66,broken clouds
160,Nanortalik,GL,60.1432,-45.2371,13.91,63,100,15.84,overcast clouds
161,Sheffield,GB,53.383,-1.4659,45.9,85,65,8.99,light rain
162,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,78,4,16.22,clear sky
163,Port Hedland,AU,-20.3167,118.5667,84.25,84,40,10.36,scattered clouds
164,Saint-Philippe,RE,-21.3585,55.7679,80.19,80,99,16.64,overcast clouds
165,Wuchang,CN,44.9143,127.15,-5.33,97,53,4.54,broken clouds
166,Svetlogorsk,BY,52.6333,29.7333,32.61,88,100,13.53,overcast clouds
167,Sitka,US,57.0531,-135.33,44.49,81,100,21.85,light rain
168,Vicuna,CL,-30.0319,-70.7081,90.77,31,0,9.06,clear sky
169,Airai,TL,-8.9266,125.4092,61.97,93,73,1.23,broken clouds
170,Manavalakurichi,IN,8.1333,77.3,82.49,80,72,6.35,broken clouds
171,Casablanca,MA,33.5928,-7.6192,66.42,72,18,11.01,few clouds
172,Honggang,CN,46.4667,124.8667,-6.61,97,27,4.0,scattered clouds
173,Pavilosta,LV,56.8879,21.1859,39.11,93,99,14.58,overcast clouds
174,Goba,ET,7.0167,39.9833,55.87,30,100,3.42,overcast clouds
175,Port-Gentil,GA,-0.7193,8.7815,80.53,76,5,9.51,clear sky
176,Nelson Bay,AU,-32.7167,152.15,67.08,82,97,15.97,overcast clouds
177,Cozumel,MX,20.5083,-86.9458,75.94,88,100,5.01,overcast clouds
178,Saint-Augustin,CA,51.226,-58.6502,-3.21,70,19,16.78,few clouds
179,Leshukonskoye,RU,64.8989,45.7622,14.5,93,100,9.04,overcast clouds
180,Bartow,US,27.8964,-81.8431,63.28,82,100,5.01,overcast clouds
181,Flagstaff,US,35.1981,-111.6513,39.6,33,0,3.0,clear sky
182,Ortega,CO,3.9361,-75.2217,78.87,78,81,3.96,broken clouds
